chr,start,stop,ID
chr1,1800851,1805709,Mp1g01580
chr1,1809948,1810586,Mp1g01590
chr1,1810500,1820041,Mp1g01600
chr1,1829145,1833264,Mp1g01610
chr1,1841165,1845428,Mp1g01620
chr1,1845429,1848446,Mp1g01630
chr1,1855583,1862699,Mp1g01640
chr1,1865113,1870200,Mp1g01650
chr1,1876174,1882604,Mp1g01670
chr1,1887271,1887347,Mp1g01675
chr1,1887389,1897312,Mp1g01680
chr1,1898248,1905879,Mp1g01690
chr1,1936854,1939205,Mp1g01700
chr1,1941088,1943920,Mp1g01710
chr1,1986338,1987901,Mp1g01720
chr1,1988604,1989848,Mp1g01730
chr1,1991550,1993256,Mp1g01740
chr1,2009507,2012133,Mp1g01750
chr1,2017352,2019715,Mp1g01770
chr1,2020867,2025679,Mp1g01780
chr1,2032805,2033442,Mp1g01790
chr1,2053246,2056567,Mp1g01810
chr1,2059264,2063873,Mp1g01820
chr1,2067693,2070877,Mp1g01830
chr1,2077081,2079133,Mp1g01840
chr1,2083791,2086588,Mp1g01850
chr1,2094020,2100302,Mp1g01860
chr1,2124079,2129019,Mp1g01870
chr1,2138609,2141176,Mp1g01880
chr1,2146912,2147452,Mp1g01890
chr1,2149784,2157994,Mp1g01900
chr1,2157785,2158426,Mp1g01910
chr1,2166706,2169700,Mp1g01920
chr1,2169919,2175508,Mp1g01930
chr1,2187584,2203792,Mp1g01940
chr1,2204050,2205599,Mp1g01950
chr1,2216143,2220900,Mp1g01960
chr1,2216821,2217661,Mp1g01970
chr1,2223434,2228757,Mp1g01980
chr1,2230142,2234895,Mp1g01990
chr1,2257354,2266927,Mp1g02000
chr1,2269497,2290103,Mp1g02010
chr1,2300228,2303873,Mp1g02020
chr1,2307108,2312192,Mp1g02030
chr1,2312489,2317917,Mp1g02040
chr1,2329584,2332242,Mp1g02050
chr1,2330067,2333835,Mp1g02060
chr1,2334492,2338146,Mp1g02070
chr1,2337722,2345426,Mp1g02080
chr1,2345994,2354070,Mp1g02090
chr1,2366760,2369504,Mp1g02120
chr1,2375362,2378775,Mp1g02130
chr1,2391150,2394706,Mp1g02140
chr1,2395539,2399462,Mp1g02150
chr1,2403387,2403827,Mp1g02160
chr1,2411705,2412131,Mp1g02170
chr1,2421652,2425715,Mp1g02180
chr1,2425292,2434404,Mp1g02190
chr1,2451663,2455323,Mp1g02200
chr1,2457925,2463306,Mp1g02210
chr1,2464263,2466636,Mp1g02220
chr1,2466738,2468133,Mp1g02230
chr1,2472029,2479551,Mp1g02240
chr1,2491378,2496723,Mp1g02250
chr1,2504689,2509940,Mp1g02260
chr1,2522357,2525891,Mp1g02270
chr1,2527113,2533039,Mp1g02280
chr1,2535597,2538316,Mp1g02290
chr1,2546747,2547590,Mp1g02300
chr1,2548164,2549596,Mp1g02310
chr1,2549653,2554307,Mp1g02320
chr1,2554216,2554707,Mp1g02330
chr1,2554735,2558683,Mp1g02340
chr1,2579286,2585210,Mp1g02350
chr1,2598632,2605405,Mp1g02360
chr1,2606529,2612113,Mp1g02370
chr1,2622267,2630059,Mp1g02380
chr1,2637881,2641342,Mp1g02390
chr1,2641753,2642480,Mp1g02400
chr1,2643725,2645251,Mp1g02410
chr1,2646704,2648212,Mp1g02420
chr1,2646826,2647443,Mp1g02430
chr1,2658368,2671275,Mp1g02440
chr1,2680625,2686826,Mp1g02450
chr1,2719102,2720928,Mp1g02470
chr1,2746041,2747304,Mp1g02480
chr1,2753292,2754851,Mp1g02490
chr1,2758210,2758807,Mp1g02500
chr1,2761032,2762732,Mp1g02510
chr1,2782934,2785035,Mp1g02520
chr1,2786299,2786881,Mp1g02530
chr1,2816575,2818323,Mp1g02540
chr1,2822197,2830526,Mp1g02550
chr1,2834334,2840259,Mp1g02560
chr1,2853644,2859743,Mp1g02570
chr1,2865162,2869420,Mp1g02580
chr1,2880607,2883241,Mp1g02590
chr1,2885612,2889985,Mp1g02600
chr1,2892746,2898399,Mp1g02610
chr1,2905948,2908643,Mp1g02620
chr1,2915189,2926930,Mp1g02630
chr1,2927843,2928880,Mp1g02640
chr1,2929922,2933186,Mp1g02650
chr1,2933460,2950839,Mp1g02660
chr1,2947862,2947964,Mp1g02665
chr1,2955300,2966824,Mp1g02670
chr1,2967538,2969900,Mp1g02680
chr1,2971149,2973753,Mp1g02690
chr1,2978312,2997316,Mp1g02700
chr1,2998818,3006501,Mp1g02710
chr1,3008032,3015004,Mp1g02720
chr1,3023292,3030505,Mp1g02730
chr1,3034597,3038345,Mp1g02740
chr1,3046400,3049109,Mp1g02750
chr1,3059075,3060511,Mp1g02760
chr1,3063796,3073860,Mp1g02770
chr1,3074089,3076488,Mp1g02780
chr1,3076849,3083108,Mp1g02790
chr1,3083151,3086895,Mp1g02810
chr1,3105007,3115010,Mp1g02820
chr1,3118642,3125663,Mp1g02830
chr1,3138614,3148472,Mp1g02840
chr1,3150902,3151582,Mp1g02850
chr1,3152017,3161906,Mp1g02860
chr1,3186000,3190615,Mp1g02880
chr1,3189212,3192439,Mp1g02885
chr1,3192925,3200598,Mp1g02890
chr1,3201828,3205299,Mp1g02900
chr1,3205598,3209457,Mp1g02910
chr1,3210719,3212209,Mp1g02920
chr1,3213358,3214273,Mp1g02930
chr1,3216907,3219995,Mp1g02940
chr1,3220673,3225631,Mp1g02950
chr1,3233472,3236899,Mp1g02960
chr1,3244727,3247008,Mp1g02970
chr1,3248623,3250875,Mp1g02980
chr1,3252653,3255130,Mp1g02990
chr1,3275464,3287355,Mp1g03000
chr1,3306419,3313328,Mp1g03010
chr1,3323423,3327345,Mp1g03020
chr1,3346476,3346823,Mp1g03030
chr1,3346712,3348499,Mp1g03040
chr1,3350303,3354144,Mp1g03060
chr1,3353023,3361778,Mp1g03070
chr1,3368783,3374137,Mp1g03080
chr1,3374439,3379114,Mp1g03090
chr1,3382323,3388429,Mp1g03100
chr1,3392093,3395944,Mp1g03110
chr1,3418353,3421588,Mp1g03120
chr1,3425497,3433047,Mp1g03130
chr1,3475068,3479125,Mp1g03140
chr1,3483401,3486895,Mp1g03150
chr1,3493597,3498600,Mp1g03160
chr1,3503896,3508481,Mp1g03170
chr1,3508534,3511257,Mp1g03180
chr1,3516562,3520877,Mp1g03190
chr1,3521794,3526533,Mp1g03200
chr1,3528653,3533206,Mp1g03210
chr1,3541847,3553145,Mp1g03220
chr1,3567850,3569413,Mp1g03230
chr1,3569454,3570706,Mp1g03240
chr1,3571269,3571808,Mp1g03250
chr1,3582153,3583853,Mp1g03260
chr1,3584427,3594124,Mp1g03270
chr1,3599493,3602763,Mp1g03280
chr1,3605619,3607762,Mp1g03290
chr1,3647157,3651680,Mp1g03300
chr1,3652544,3656109,Mp1g03310
chr1,3659169,3661022,Mp1g03320
chr1,3684275,3690643,Mp1g03340
chr1,3700294,3702659,Mp1g03360
chr1,3706095,3715739,Mp1g03370
chr1,3716316,3725173,Mp1g03380
chr1,3734468,3738732,Mp1g03390
chr1,3738733,3747872,Mp1g03400
chr1,3754039,3769975,Mp1g03410
chr1,3772036,3777742,Mp1g03420
chr1,3779885,3783374,Mp1g03430
chr1,3783606,3784426,Mp1g03440
chr1,3787711,3790977,Mp1g03450
chr1,3790444,3794023,Mp1g03460
chr1,3808640,3812494,Mp1g03480
chr1,3822873,3824938,Mp1g03490
chr1,3826064,3826270,Mp1g03500
chr1,3838588,3845282,Mp1g03510
chr1,3853590,3857113,Mp1g03530
chr1,3859971,3865787,Mp1g03540
chr1,3865418,3866167,Mp1g03550
chr1,3871821,3875835,Mp1g03560
chr1,3884297,3887049,Mp1g03570
chr1,3900729,3903802,Mp1g03580
chr1,3915429,3919722,Mp1g03590
chr1,3924790,3930491,Mp1g03600
chr1,3944424,3947327,Mp1g03620
chr1,3948691,3950499,Mp1g03630
chr1,3954239,3958076,Mp1g03640
chr1,3958549,3963496,Mp1g03650
chr1,3964453,3967323,Mp1g03660
chr1,3976442,3980163,Mp1g03670
chr1,4029062,4037723,Mp1g03680
chr1,4038102,4038413,Mp1g03690
chr1,4038286,4042175,Mp1g03700
chr1,4044187,4047812,Mp1g03710
chr1,4058108,4062324,Mp1g03720
chr1,4068526,4072119,Mp1g03730
chr1,4074514,4076917,Mp1g03740
chr1,4078417,4081086,Mp1g03750
chr1,4081369,4083038,Mp1g03760
chr1,4083047,4087868,Mp1g03770
chr1,4083109,4083180,Mp1g03775a
chr1,4087869,4091822,Mp1g03780
chr1,4097828,4109835,Mp1g03790
chr1,4109016,4118131,Mp1g03800
chr1,4117209,4120489,Mp1g03810
chr1,4130732,4134329,Mp1g03830
chr1,4138873,4144964,Mp1g03840
chr1,4150245,4151721,Mp1g03850
chr1,4161858,4168053,Mp1g03860
chr1,4170530,4173076,Mp1g03870
chr1,4180069,4180431,Mp1g03880
chr1,4191220,4191725,Mp1g03890
chr1,4192094,4195152,Mp1g03900
chr1,4197841,4204082,Mp1g03910
chr1,4207869,4211252,Mp1g03930
chr1,4229174,4229686,Mp1g03940
chr1,4229638,4234039,Mp1g03950
chr1,4238742,4239841,Mp1g03960
chr1,4258097,4268485,Mp1g03970
chr1,4274595,4278609,Mp1g03980
chr1,4287030,4298929,Mp1g03990
chr1,4318053,4321048,Mp1g04000
chr1,4324268,4327253,Mp1g04010
chr1,4330315,4333681,Mp1g04020
chr1,4397406,4400110,Mp1g04040
chr1,4421299,4425913,Mp1g04050
chr1,4430016,4437542,Mp1g04060
chr1,4441133,4454634,Mp1g04070
chr1,4465957,4466873,Mp1g04080
chr1,4478117,4480208,Mp1g04090
chr1,4491701,4500387,Mp1g04100
chr1,4494061,4495082,Mp1g04110
chr1,4505240,4510155,Mp1g04120
chr1,4517008,4519306,Mp1g04130
chr1,4522758,4527351,Mp1g04140
chr1,4532608,4537199,Mp1g04150
chr1,4553736,4558127,Mp1g04160
chr1,4558368,4560808,Mp1g04170
chr1,4569262,4570070,Mp1g04180
chr1,4570589,4572160,Mp1g04190
chr1,4578245,4579966,Mp1g04200
chr1,4586538,4592873,Mp1g04210
chr1,4596388,4600436,Mp1g04220
chr1,4615764,4618959,Mp1g04250
chr1,4624995,4630505,Mp1g04260
chr1,4631796,4636423,Mp1g04270
chr1,4637689,4640086,Mp1g04280
chr1,4640392,4644774,Mp1g04290
chr1,4647863,4652974,Mp1g04300
chr1,4661897,4663700,Mp1g04310
chr1,4663738,4668998,Mp1g04320
chr1,4670384,4679784,Mp1g04330
chr1,4681443,4686219,Mp1g04340
chr1,4690428,4693880,Mp1g04350
chr1,4696948,4700469,Mp1g04360
chr1,4708707,4714219,Mp1g04370
chr1,4721515,4723566,Mp1g04380
chr1,4724973,4726250,Mp1g04390
chr1,4726472,4732405,Mp1g04400
chr1,4736195,4744231,Mp1g04410
chr1,4747385,4752060,Mp1g04430
chr1,4752702,4753117,Mp1g04440
chr1,4755010,4762521,Mp1g04450
chr1,4766173,4772168,Mp1g04460
chr1,4777142,4778579,Mp1g04470
chr1,4778639,4791420,Mp1g04480
chr1,4798851,4803183,Mp1g04490
chr1,4818026,4820553,Mp1g04500
chr1,4821238,4824940,Mp1g04510
chr1,4828166,4833404,Mp1g04520
chr1,4837684,4841853,Mp1g04530
chr1,4856837,4862060,Mp1g04540
chr1,4868522,4871258,Mp1g04550
chr1,4879791,4884960,Mp1g04560
chr1,4886157,4891592,Mp1g04570
chr1,4901715,4907509,Mp1g04580
chr1,4908322,4911548,Mp1g04590
chr1,4915896,4921456,Mp1g04600
chr1,4922002,4923214,Mp1g04610
chr1,4925600,4926118,Mp1g04620
chr1,4925628,4936060,Mp1g04630
chr1,4937125,4942698,Mp1g04640
chr1,4956864,4961667,Mp1g04650
chr1,4982786,4985822,Mp1g04670
chr1,4988344,4993848,Mp1g04680
chr1,5015020,5022251,Mp1g04690
chr1,5035818,5036966,Mp1g04710
chr1,5037427,5037940,Mp1g04720
chr1,5043820,5045124,Mp1g04730
chr1,5044820,5046164,Mp1g04740
chr1,5057861,5060776,Mp1g04750
chr1,5067336,5071381,Mp1g04760
chr1,5070961,5073944,Mp1g04770
chr1,5078589,5084180,Mp1g04780
chr1,5085257,5089677,Mp1g04790
chr1,5101233,5106524,Mp1g04800
chr1,5121819,5130554,Mp1g04810
chr1,5148382,5152346,Mp1g04820
chr1,5158817,5163963,Mp1g04830
chr1,5181117,5187091,Mp1g04840
chr1,5195722,5202946,Mp1g04850
chr1,5202913,5206002,Mp1g04860
chr1,5214933,5229112,Mp1g04870
chr1,5232083,5235628,Mp1g04880
chr1,5241513,5246708,Mp1g04890
chr1,5248586,5250333,Mp1g04900
chr1,5251357,5253151,Mp1g04910
chr1,5259577,5261787,Mp1g04920
chr1,5263475,5265526,Mp1g04930
chr1,5265748,5271182,Mp1g04940
chr1,5274979,5279912,Mp1g04950
chr1,5282286,5283868,Mp1g04960
chr1,5288660,5297261,Mp1g04980
chr1,5299629,5300878,Mp1g04990
chr1,5302214,5310693,Mp1g05000
chr1,5320284,5321910,Mp1g05010
chr1,5327338,5329046,Mp1g05020
chr1,5328129,5333453,Mp1g05030
chr1,5345058,5355581,Mp1g05040
chr1,5358582,5359447,Mp1g05050
chr1,5370548,5374365,Mp1g05060
chr1,5374610,5376860,Mp1g05070
chr1,5392307,5399177,Mp1g05080
chr1,5411944,5419159,Mp1g05090
chr1,5423040,5424435,Mp1g05100
chr1,5428484,5431517,Mp1g05110
chr1,5432040,5436397,Mp1g05120
chr1,5454178,5460099,Mp1g05130
chr1,5463399,5477083,Mp1g05140
chr1,5483972,5487553,Mp1g05150
chr1,5490457,5493879,Mp1g05160
chr1,5527655,5529231,Mp1g05170
chr1,5531567,5535732,Mp1g05180
chr1,5548990,5551497,Mp1g05190
chr1,5550504,5552987,Mp1g05200
chr1,5564048,5565863,Mp1g05210
chr1,5567270,5570304,Mp1g05220
chr1,5571194,5573046,Mp1g05230
chr1,5576465,5577532,Mp1g05240
chr1,5578694,5586260,Mp1g05250
chr1,5589137,5591762,Mp1g05260
chr1,5591913,5598191,Mp1g05270
chr1,5619463,5624574,Mp1g05280
chr1,5626076,5633214,Mp1g05290
chr1,5635626,5640907,Mp1g05300
chr1,5644623,5648843,Mp1g05310
chr1,5659963,5663991,Mp1g05320
chr1,5668678,5673470,Mp1g05330
chr1,5675808,5679626,Mp1g05340
chr1,5692617,5699319,Mp1g05350
chr1,5699320,5703111,Mp1g05360
chr1,5704057,5707431,Mp1g05370
chr1,5714590,5726233,Mp1g05380
chr1,5742689,5743557,Mp1g05390
chr1,5761505,5777443,Mp1g05400
chr1,5778380,5781731,Mp1g05410
chr1,5786114,5790781,Mp1g05420
chr1,5801844,5804836,Mp1g05430
chr1,5807702,5810399,Mp1g05440
chr1,5822995,5826842,Mp1g05450
chr1,5833374,5834781,Mp1g05460
chr1,5836044,5842371,Mp1g05470
chr1,5843584,5859601,Mp1g05480
chr1,5870584,5871364,Mp1g05490
chr1,5871241,5877937,Mp1g05500
chr1,5879141,5890252,Mp1g05510
chr1,5901728,5905371,Mp1g05520
chr1,5906980,5911105,Mp1g05530
chr1,5915994,5921814,Mp1g05540
chr1,5929783,5932964,Mp1g05550
chr1,5935052,5944110,Mp1g05560
chr1,5947732,5949439,Mp1g05570
chr1,5950175,5952157,Mp1g05580
chr1,5956224,5965606,Mp1g05590
chr1,5966525,5968217,Mp1g05600
chr1,5973232,5974317,Mp1g05610
chr1,5974876,5987223,Mp1g05620
chr1,5999905,6004734,Mp1g05630
chr1,6007911,6011871,Mp1g05640
chr1,6011979,6020460,Mp1g05650
chr1,6023947,6029701,Mp1g05660
chr1,6033937,6036270,Mp1g05670
chr1,6036861,6045156,Mp1g05680
chr1,6055365,6060952,Mp1g05690
chr1,6063745,6066159,Mp1g05700
chr1,6073370,6076425,Mp1g05710
chr1,6076479,6081655,Mp1g05720
chr1,6082404,6085047,Mp1g05730
chr1,6089063,6092006,Mp1g05740
chr1,6093773,6096467,Mp1g05750
chr1,6099446,6099748,Mp1g05760
chr1,6100428,6100868,Mp1g05770
chr1,6100917,6102613,Mp1g05780
chr1,6111836,6116466,Mp1g05790
chr1,6145901,6148393,Mp1g05810
chr1,6146491,6146569,Mp1g05815
chr1,6157009,6162133,Mp1g05830
chr1,6163160,6167771,Mp1g05840
chr1,6172746,6175238,Mp1g05850
chr1,6175711,6180385,Mp1g05870
chr1,6180926,6183174,Mp1g05880
chr1,6181332,6184480,Mp1g05890
chr1,6183357,6184274,Mp1g05900
chr1,6184922,6190181,Mp1g05910
chr1,6209532,6211979,Mp1g05920
chr1,6209983,6210064,Mp1g05925
chr1,6215054,6216554,Mp1g05930
chr1,6217776,6221732,Mp1g05940
chr1,6229355,6233581,Mp1g05950
chr1,6230817,6230918,Mp1g05955
chr1,6246955,6250150,Mp1g05960
chr1,6251512,6266517,Mp1g05970
chr1,6270537,6277681,Mp1g05980
chr1,6273739,6273834,Mp1g05985
chr1,6282710,6284569,Mp1g05990
chr1,6284613,6286649,Mp1g06000
chr1,6287273,6289127,Mp1g06010
chr1,6290276,6293015,Mp1g06020
chr1,6300008,6303389,Mp1g06030
chr1,6304963,6316767,Mp1g06040
chr1,6322510,6329363,Mp1g06050
chr1,6330810,6340334,Mp1g06060
chr1,6368124,6371837,Mp1g06080
chr1,6442323,6447018,Mp1g06090
chr1,6450280,6455859,Mp1g06100
chr1,6462060,6468439,Mp1g06110
chr1,6469299,6472776,Mp1g06120
chr1,6475807,6480797,Mp1g06130
chr1,6481728,6484970,Mp1g06140
chr1,6485291,6487629,Mp1g06150
chr1,6488363,6504739,Mp1g06160
chr1,6509706,6509777,Mp1g06165a
chr1,6514628,6517367,Mp1g06170
chr1,6517906,6520276,Mp1g06180
chr1,6520176,6532544,Mp1g06190
chr1,6534587,6545167,Mp1g06200
chr1,6548355,6550754,Mp1g06210
chr1,6551424,6555502,Mp1g06220
chr1,6555174,6559572,Mp1g06230
chr1,6567035,6569492,Mp1g06240
chr1,6570069,6575669,Mp1g06250
chr1,6583568,6585118,Mp1g06260
chr1,6595601,6598305,Mp1g06270
chr1,6605603,6609961,Mp1g06280
chr1,6614091,6622939,Mp1g06290
chr1,6638973,6641012,Mp1g06310
chr1,6642112,6647032,Mp1g06320
chr1,6649064,6655774,Mp1g06330
chr1,6671037,6677661,Mp1g06340
chr1,6685669,6689692,Mp1g06360
chr1,6699169,6701494,Mp1g06370
chr1,6708760,6711286,Mp1g06380
chr1,6712861,6715979,Mp1g06390
chr1,6718314,6719588,Mp1g06400
chr1,6727791,6733137,Mp1g06410
chr1,6737691,6750046,Mp1g06420
chr1,6758103,6768176,Mp1g06430
chr1,6791568,6795491,Mp1g06440
chr1,6791885,6791984,Mp1g06445
chr1,6797059,6799124,Mp1g06450
chr1,6806722,6809077,Mp1g06460
chr1,6813018,6824679,Mp1g06470
chr1,6828850,6838201,Mp1g06480
chr1,6838994,6845627,Mp1g06490
chr1,6849643,6850738,Mp1g06500
chr1,6852936,6859665,Mp1g06510
chr1,6861359,6864151,Mp1g06520
chr1,6865414,6867637,Mp1g06530
chr1,6873514,6885803,Mp1g06540
chr1,6911067,6917076,Mp1g06550
chr1,6925107,6927925,Mp1g06560
chr1,6943061,6960975,Mp1g06580
chr1,6975199,6978726,Mp1g06600
chr1,6986766,6986838,Mp1g06605a
chr1,6994818,6997860,Mp1g06610
chr1,6999393,7005450,Mp1g06620
chr1,7015432,7037726,Mp1g06630
chr1,7046949,7052544,Mp1g06640
chr1,7057227,7060770,Mp1g06650
chr1,7062353,7067052,Mp1g06660
chr1,7073232,7076260,Mp1g06680
chr1,7076261,7077295,Mp1g06690
chr1,7077855,7083075,Mp1g06700
chr1,7083601,7091073,Mp1g06710
chr1,7103973,7107997,Mp1g06720
chr1,7108397,7110587,Mp1g06730
chr1,7112474,7114463,Mp1g06740
chr1,7118615,7125314,Mp1g06750
chr1,7126247,7128470,Mp1g06760
chr1,7140557,7143917,Mp1g06770
chr1,7149132,7152542,Mp1g06780
chr1,7153855,7156888,Mp1g06790
chr1,7160609,7162946,Mp1g06800
chr1,7175835,7178995,Mp1g06820
chr1,7183278,7186240,Mp1g06830
chr1,7204890,7209964,Mp1g06840
chr1,7213246,7214029,Mp1g06860
chr1,7214961,7219401,Mp1g06870
chr1,7221433,7226573,Mp1g06880
chr1,7228732,7236054,Mp1g06890
chr1,7242460,7248141,Mp1g06900
chr1,7249230,7252407,Mp1g06910
chr1,7279064,7282337,Mp1g06930
chr1,7282493,7282774,Mp1g06940
chr1,7285730,7286760,Mp1g06950
chr1,7288947,7290801,Mp1g06960
chr1,7299300,7300910,Mp1g06970
chr1,7310110,7343049,Mp1g06980
chr1,7347093,7351101,Mp1g06990
chr1,7351432,7354866,Mp1g07000
