pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Japan	chr1	260001	280000	0.0006170166060526	19701	2808	4550931	14086215
Europe	chr1	280001	300000	0.0011532140552878	19654	32434	28124874	85435938
Japan	chr1	280001	300000	0.000832365287438	19654	3779	4540074	14052610
Japan	chr1	300001	320000	0.000317157635899	19737	1446	4559247	14111955
Europe	chr1	300001	320000	0.0006432242974853	19737	18167	28243647	85796739
Japan	chr1	320001	340000	0.0008605719628862	19704	3917	4551624	14088360
Europe	chr1	320001	340000	0.00094050933551	19704	26519	28196424	85653288
Europe	chr1	340001	360000	0.0026306901495623	19683	74097	28166373	85562001
Japan	chr1	340001	360000	0.0014718130858963	19683	6692	4546773	14073345
Europe	chr1	360001	380000	0.0029243174920991	19475	81497	27868725	84657825
Japan	chr1	360001	380000	0.0025018199600998	19475	11255	4498725	13924625
Japan	chr1	380001	400000	0.004416159459746	19272	19660	4451832	13779480
Europe	chr1	380001	400000	0.0052885551183991	19272	145849	27578232	83775384
Japan	chr1	400001	420000	0.002506675094856	19477	11278	4499187	13926055
Europe	chr1	400001	420000	0.0026866428524504	19477	74881	27871587	84666519
Japan	chr1	420001	440000	0.0017768418577085	19291	7918	4456221	13793065
Europe	chr1	420001	440000	0.0023165739801613	19291	63950	27605421	83857977
Japan	chr1	440001	460000	0.0027423065079968	19120	12112	4416720	13670800
Europe	chr1	440001	460000	0.0058893894756032	19120	161137	27360561	83114799
Japan	chr1	460001	480000	0.0006701815147033	19514	3021	4507734	13952510
Europe	chr1	460001	480000	0.0012981440908427	19514	36250	27924481	84827411
Europe	chr1	480001	500000	0.0028619370267208	19658	80508	28130598	85453326
Japan	chr1	480001	500000	0.0013662194962428	19658	6204	4540998	14055470
Europe	chr1	500001	520000	0.0053655943359573	19447	149317	27828604	84536162
Japan	chr1	500001	520000	0.0027894664085336	19447	12531	4492257	13904605
Japan	chr1	520001	540000	0.0025868548144009	19618	11723	4531758	14026870
Europe	chr1	520001	540000	0.0038820436087481	19618	108982	28073358	85279446
Japan	chr1	540001	560000	0.0016338146347972	19337	7298	4466847	13825955
Europe	chr1	540001	560000	0.0049700059925133	19337	137526	27671194	84057992
Japan	chr1	560001	580000	0.0045460121194278	19410	20383	4483710	13878150
Europe	chr1	560001	580000	0.0056909184902448	19410	158069	27775657	84375323
Japan	chr1	580001	600000	0.001889842444058	19638	8573	4536357	14041191
Europe	chr1	580001	600000	0.0021340134847447	19638	59970	28101978	85366386
Europe	chr1	600001	620000	0.0094745592855628	19038	258119	27243378	82758186
Japan	chr1	600001	620000	0.005755716320862	19038	25312	4397715	13612233
Europe	chr1	620001	640000	0.003846314703494	19065	104934	27281699	82875871
Japan	chr1	620001	640000	0.0031537131458453	19065	13889	4404015	13631475
Europe	chr1	640001	660000	0.0030920683839494	19289	85349	27602559	83849283
Japan	chr1	640001	660000	0.0022871524245364	19289	10191	4455759	13791635
Europe	chr1	660001	680000	0.0034818803676451	19278	96054	27586818	83801466
Japan	chr1	660001	680000	0.003729887016535	19278	16610	4453218	13783770
Europe	chr1	680001	700000	0.0041265145801012	19356	114298	27698436	84140532
Japan	chr1	680001	700000	0.0017205533324566	19356	7693	4471236	13839540
Europe	chr1	700001	720000	0.0039000852361513	19433	108456	27808623	84475251
Japan	chr1	700001	720000	0.0013989681050865	19433	6280	4489023	13894595
Japan	chr1	720001	740000	0.0028540553154387	18997	12524	4388142	13583020
Europe	chr1	720001	740000	0.0059908994125638	18997	162859	27184399	82580267
Europe	chr1	740001	760000	0.0080304001006602	19261	221334	27562014	83728044
Japan	chr1	740001	760000	0.001866364775871	19261	8304	4449291	13771615
Japan	chr1	760001	780000	0.0006799402932223	19756	3103	4563636	14125540
Europe	chr1	760001	780000	0.001434130777347	19756	40544	28270783	85879385
Japan	chr1	780001	800000	0.0018985550900444	18971	8320	4382280	13564286
Europe	chr1	780001	800000	0.0038127497254557	18971	103504	27146812	82467626
Europe	chr1	800001	820000	0.0038617588840809	19208	106146	27486439	83497385
Japan	chr1	800001	820000	0.0022564551927317	19208	10012	4437048	13733720
Japan	chr1	820001	840000	0.0007699443413729	19600	3486	4527600	14014000
Europe	chr1	820001	840000	0.0029418667030249	19600	82510	28046818	85201982
Japan	chr1	840001	860000	0.0003640378792262	19752	1661	4562712	14122680
Europe	chr1	840001	860000	0.0007566571821827	19752	21387	28265112	85861944
Japan	chr1	860001	880000	0.0005127296527838	19571	2318	4520901	13993265
Europe	chr1	860001	880000	0.0020811536743368	19571	58285	28006101	85075137
Europe	chr1	880001	900000	0.002314920652661	19808	65617	28345248	86105376
Japan	chr1	880001	900000	0.0008656697368329	19808	3961	4575648	14162720
Europe	chr1	900001	920000	0.0025983684878563	19600	72878	28047600	85201200
Japan	chr1	900001	920000	0.0015621963070942	19600	7073	4527600	14014000
Japan	chr1	920001	940000	0.0026792132699305	19391	12001	4479300	13864586
Europe	chr1	920001	940000	0.0031620424021878	19391	87742	27748521	84292677
Europe	chr1	940001	960000	0.0032270570022188	19587	90451	28028944	85144742
Japan	chr1	940001	960000	0.0019009427800973	19587	8601	4524597	14004705
Europe	chr1	960001	980000	0.0044911952376766	19238	123640	27529420	83627744
Japan	chr1	960001	980000	0.0029943892611529	19238	13307	4443978	13755170
Japan	chr1	980001	1000000	0.0028223317081616	19052	12421	4400971	13622221
Europe	chr1	980001	1000000	0.0050994717755796	19052	139029	27263412	82819044
Japan	chr1	1000001	1020000	0.0019548699749149	19556	8831	4517436	13982540
Europe	chr1	1000001	1020000	0.0055995474365296	19556	156701	27984583	85009985
Japan	chr1	1020001	1040000	0.0018044839944576	19708	8215	4552548	14091220
Europe	chr1	1020001	1040000	0.0043900911377388	19708	123810	28202148	85670676
Japan	chr1	1040001	1060000	0.0022771192265339	19393	10201	4479783	13865995
Europe	chr1	1040001	1060000	0.0062142128195917	19393	172453	27751383	84301371
Japan	chr1	1060001	1080000	0.0023484802533248	19484	10570	4500783	13931081
Europe	chr1	1060001	1080000	0.0042006550268772	19484	117121	27881604	84696948
Europe	chr1	1080001	1100000	0.007075926569655	19012	192504	27205483	82645853
Japan	chr1	1080001	1100000	0.0040760312693828	19012	17901	4391772	13593580
Japan	chr1	1100001	1120000	0.0010190776909283	19290	4541	4455990	13792350
Europe	chr1	1100001	1120000	0.0016775111134296	19290	46306	27603990	83853630
Europe	chr1	1120001	1140000	0.0036720340123163	19323	101536	27651160	83997134
Japan	chr1	1120001	1140000	0.0027975095511192	19323	12487	4463613	13815945
Europe	chr1	1140001	1160000	0.0036213269519976	19652	101839	28122012	85427244
Japan	chr1	1140001	1160000	0.001975058661401	19652	8966	4539612	14051180
Europe	chr1	1160001	1180000	0.0030906580364722	19689	87077	28174259	85588783
Japan	chr1	1160001	1180000	0.0017692873094366	19689	8047	4548159	14077635
Japan	chr1	1180001	1200000	0.001263086544295	19594	5717	4526214	14009710
Europe	chr1	1180001	1200000	0.003310458777188	19594	92822	28039014	85175118
Europe	chr1	1200001	1220000	0.0028972054325827	19712	81724	28207872	85688064
Japan	chr1	1200001	1220000	0.0009265457215944	19712	4219	4553472	14094080
Japan	chr1	1220001	1240000	0.0021382245507237	19463	9613	4495786	13916212
Europe	chr1	1220001	1240000	0.0047734680672554	19463	132947	27851239	84605975
Europe	chr1	1240001	1260000	0.0040872911092875	19529	114223	27945893	84892669
Japan	chr1	1240001	1260000	0.0020923678781297	19529	9439	4511157	13963277
Japan	chr1	1260001	1280000	0.001249670834807	19645	5671	4537995	14046175
Europe	chr1	1260001	1280000	0.0026039774124888	19645	73203	28111995	85396815
Japan	chr1	1280001	1300000	0.0005570765887903	19676	2532	4545156	14068340
Europe	chr1	1280001	1300000	0.0011505395087347	19676	32395	28156356	85531572
Europe	chr1	1300001	1320000	0.0044332581421777	18951	120225	27118881	82379997
Japan	chr1	1300001	1320000	0.0013895484846885	18951	6083	4377681	13549965
Europe	chr1	1320001	1340000	0.0029246377992822	19497	81598	27900207	84753459
Japan	chr1	1320001	1340000	0.0005633012249414	19497	2537	4503807	13940355
Europe	chr1	1340001	1360000	0.0021015895931992	19255	57907	27553905	83701485
Japan	chr1	1340001	1360000	0.0012700361181275	19255	5649	4447905	13767325
Japan	chr1	1360001	1380000	0.0018598082966832	19699	8463	4550469	14084785
Europe	chr1	1360001	1380000	0.0020962941607318	19699	59093	28189269	85631553
Europe	chr1	1380001	1400000	0.0023440949236282	19478	65337	27873018	84670866
Japan	chr1	1380001	1400000	0.0024300920696854	19478	10934	4499418	13926770
Japan	chr1	1400001	1420000	0.0041667515269188	19130	18413	4419030	13677950
Europe	chr1	1400001	1420000	0.0044874836666845	19130	122845	27375030	83158110
Europe	chr1	1420001	1440000	0.0026654387470768	19591	74724	28034409	85162389
Japan	chr1	1420001	1440000	0.0024348577765963	19591	11019	4525521	14007565
Europe	chr1	1440001	1460000	0.0023448576725924	19722	66177	28222182	85731534
Japan	chr1	1440001	1460000	0.0019678290137675	19722	8965	4555782	14101230
Japan	chr1	1460001	1480000	0.0009438338535532	19672	4289	4544232	14065480
Europe	chr1	1460001	1480000	0.0014487774199882	19672	40784	28150632	85514184
Japan	chr1	1480001	1500000	0.0029239726974021	19420	13117	4486020	13885300
Europe	chr1	1480001	1500000	0.0037403495092723	19420	103943	27789649	84419111
Europe	chr1	1500001	1520000	0.0058053459882976	19374	160947	27723929	84219043
Japan	chr1	1500001	1520000	0.0049840356678641	19374	22305	4475289	13852515
Europe	chr1	1520001	1540000	0.0034614538483072	19653	97348	28123443	85431591
Japan	chr1	1520001	1540000	0.0016504976053136	19653	7493	4539843	14051895
Japan	chr1	1540001	1560000	0.0031599836069109	19267	14064	4450656	13775926
Europe	chr1	1540001	1560000	0.0058083303573714	19267	160141	27570918	83753808
Europe	chr1	1560001	1580000	0.0045284439401252	19433	125926	27807786	84476088
Japan	chr1	1560001	1580000	0.0045476427620992	19433	20414	4488919	13894699
Japan	chr1	1580001	1600000	0.0064897599488584	19179	28750	4430056	13713278
Europe	chr1	1580001	1600000	0.005743329333057	19179	157610	27442271	83373991
Europe	chr1	1600001	1620000	0.0044904736773917	19445	124951	27825795	84527415
Japan	chr1	1600001	1620000	0.0028986184810304	19445	13020	4491795	13903175
Europe	chr1	1620001	1640000	0.0069254678858005	18954	187837	27122644	82393568
Japan	chr1	1620001	1640000	0.0035924295183554	18954	15729	4378374	13552110
Europe	chr1	1640001	1660000	0.0062559850452713	19377	173469	27728487	84231819
Japan	chr1	1640001	1660000	0.0020006313550205	19377	8955	4476087	13854555
Japan	chr1	1660001	1680000	0.0048172396298891	18815	20937	4346265	13452725
Europe	chr1	1660001	1680000	0.0162739455045415	18815	438158	26923895	81789175
Europe	chr1	1680001	1700000	0.0024063121093585	19437	66930	27814347	84492639
Japan	chr1	1680001	1700000	0.0009839759801173	19437	4418	4489947	13897455
Europe	chr1	1700001	1720000	0.0055456820551451	19414	154067	27781434	84392658
Japan	chr1	1700001	1720000	0.0040264155335753	19414	18057	4484634	13881010
Europe	chr1	1720001	1740000	0.0024292967760209	19661	68348	28134891	85466367
Japan	chr1	1720001	1740000	0.0009743067064668	19661	4425	4541691	14057615
Japan	chr1	1740001	1760000	0.0026725118835362	19179	11840	4430289	13713045
Europe	chr1	1740001	1760000	0.0041262301035421	19179	113245	27445149	83371113
Europe	chr1	1760001	1780000	0.0031201041434492	19470	86931	27861570	84636090
Japan	chr1	1760001	1780000	0.0019101425881086	19470	8591	4497570	13921050
Europe	chr1	1780001	1800000	0.0034802607177146	19598	97603	28044738	85192506
Japan	chr1	1780001	1800000	0.001265037646301	19598	5727	4527138	14012570
Japan	chr1	1800001	1820000	0.0014605625687966	19310	6515	4460610	13806650
Europe	chr1	1800001	1820000	0.0044104024409896	19310	121870	27632399	83940781
Europe	chr1	1820001	1840000	0.0039918019504902	19122	109230	27363582	83123334
Japan	chr1	1820001	1840000	0.002177179930553	19122	9617	4417182	13672230
Europe	chr1	1840001	1860000	0.0108361685601068	19017	294875	27212109	82668117
Japan	chr1	1840001	1860000	0.0037403307635205	19017	16431	4392927	13597155
Europe	chr1	1860001	1880000	0.0037322979945803	19468	103977	27858708	84627396
Japan	chr1	1860001	1880000	0.000954391133146	19468	4292	4497108	13919620
Japan	chr1	1880001	1900000	0.0008836451803099	19699	4021	4550469	14084785
Europe	chr1	1880001	1900000	0.0023487661208951	19699	66210	28189269	85631553
Europe	chr1	1900001	1920000	0.0045052555053719	19348	124736	27686776	84105968
Japan	chr1	1900001	1920000	0.0017729496745415	19348	7924	4469388	13833820
Europe	chr1	1920001	1940000	0.0033829422183045	19307	93465	27628317	83927529
Japan	chr1	1920001	1940000	0.0013619087530104	19307	6074	4459917	13804505
Europe	chr1	1940001	1960000	0.0022476182084806	19479	62651	27874396	84675266
Japan	chr1	1940001	1960000	0.0012756550566499	19479	5740	4499649	13927485
Europe	chr1	1960001	1980000	0.0047600129178163	18988	129338	27171775	82540889
Japan	chr1	1960001	1980000	0.0025345239691142	18988	11117	4386228	13576420
Japan	chr1	1980001	2000000	0.0025467250900776	19203	11297	4435893	13730145
Europe	chr1	1980001	2000000	0.0043941494844901	19203	120749	27479493	83475441
Europe	chr1	2000001	2020000	0.0024420447584124	19599	68490	28046169	85196853
Japan	chr1	2000001	2020000	0.0018920481188964	19599	8566	4527369	14013285
Europe	chr1	2020001	2040000	0.0026008638472091	19715	73376	28212165	85701105
Japan	chr1	2020001	2040000	0.0015702110046517	19715	7151	4554165	14096225
Europe	chr1	2040001	2060000	0.0023438658450964	19836	66531	28385157	86227251
Japan	chr1	2040001	2060000	0.0020787529839107	19836	9525	4582074	14182782
Europe	chr1	2060001	2080000	0.0045419612048402	19416	126194	27784033	84401615
Japan	chr1	2060001	2080000	0.0011535984959965	19416	5174	4485096	13882440
Europe	chr1	2080001	2100000	0.001293348711541	19629	36329	28089099	85327263
Japan	chr1	2080001	2100000	0.0019923697135985	19629	9034	4534299	14034735
Japan	chr1	2100001	2120000	0.0088835584327174	18874	38731	4359852	13494952
Europe	chr1	2100001	2120000	0.0069481989895884	18874	187657	27008006	82045966
Europe	chr1	2120001	2140000	0.0061721622613913	19307	170515	27626461	83929385
Japan	chr1	2120001	2140000	0.0095262311049405	19307	42486	4459896	13804526
Japan	chr1	2140001	2160000	0.0015580440290865	19166	6898	4427346	13703690
Europe	chr1	2140001	2160000	0.001622078113664	19166	44488	27426546	83314602
Japan	chr1	2160001	2180000	0.001239131088049	19592	5608	4525752	14008280
Europe	chr1	2160001	2180000	0.0025624058536991	19592	71840	28036152	85166424
Europe	chr1	2180001	2200000	0.0035650660048844	19634	100165	28096254	85348998
Japan	chr1	2180001	2200000	0.0014338145640987	19634	6503	4535454	14038310
Europe	chr1	2200001	2220000	0.0061427037770938	19278	169457	27586712	83801572
Japan	chr1	2200001	2220000	0.0015339469120981	19278	6831	4453218	13783770
Japan	chr1	2220001	2240000	0.000793106809417	19497	3572	4503807	13940355
Europe	chr1	2220001	2240000	0.0030093683534319	19497	83962	27900207	84753459
Europe	chr1	2240001	2260000	0.0012270097716054	19783	34736	28309473	85996701
Japan	chr1	2240001	2260000	0.0006702593266815	19783	3063	4569873	14144845
Europe	chr1	2260001	2280000	0.0022261918985367	19512	62159	27921672	84818664
Japan	chr1	2260001	2280000	0.0017154500549334	19512	7732	4507272	13951080
Europe	chr1	2280001	2300000	0.0026301815183132	19507	73419	27914043	84797403
Japan	chr1	2280001	2300000	0.0019000838193948	19507	8562	4506117	13947505
Europe	chr1	2300001	2320000	0.0040967685136473	19582	114799	28021842	85122954
Japan	chr1	2300001	2320000	0.003672645741893	19582	16613	4523442	14001130
Europe	chr1	2320001	2340000	0.0094708331153828	19171	259819	27433595	83336443
Japan	chr1	2320001	2340000	0.0087447197144135	19171	38726	4428501	13707265
Japan	chr1	2340001	2360000	0.003641337490158	19458	16367	4494777	13912491
Europe	chr1	2340001	2360000	0.004618826417933	19458	128607	27844086	84584238
Japan	chr1	2360001	2380000	0.0061815841489335	18895	26980	4364577	13510093
Europe	chr1	2360001	2380000	0.0062180758027844	18895	168126	27038268	82137042
Europe	chr1	2380001	2400000	0.004923868907439	19305	136004	27621369	83922921
Japan	chr1	2380001	2400000	0.0071395494080275	19305	31837	4459245	13803285
Japan	chr1	2400001	2420000	0.0001855256425433	19857	851	4586967	14197755
Europe	chr1	2400001	2420000	0.000333446335569	19857	9475	28415367	86318379
Japan	chr1	2420001	2440000	0.0037766030132442	19388	16914	4478628	13862420
Europe	chr1	2420001	2440000	0.0019550733219176	19388	54242	27744228	84279636
Japan	chr1	2440001	2460000	0.0054278050217314	19254	24140	4447470	13766814
Europe	chr1	2440001	2460000	0.0031397180521792	19254	86507	27552474	83697138
Europe	chr1	2460001	2480000	0.0029723494045832	19595	83346	28040445	85179465
Japan	chr1	2460001	2480000	0.0020371395211915	19595	9221	4526445	14010425
Europe	chr1	2480001	2500000	0.0050935073370842	19152	139595	27406459	83253797
Japan	chr1	2480001	2500000	0.0024967722336143	19152	11046	4424112	13693680
Japan	chr1	2500001	2520000	0.0040704618621611	19155	18011	4424805	13695825
Europe	chr1	2500001	2520000	0.0070681251426216	19155	193743	27410805	83266785
Japan	chr1	2520001	2540000	0.0035766031188208	19660	16243	4541460	14056900
Europe	chr1	2520001	2540000	0.0037361561642258	19660	105111	28133460	85462020
Europe	chr1	2540001	2560000	0.0031326725031176	19451	87196	27834381	84553497
Japan	chr1	2540001	2560000	0.0029963181986214	19451	13463	4493181	13907465
Japan	chr1	2560001	2580000	0.0033240724915015	19376	14878	4475835	13853861
Europe	chr1	2560001	2580000	0.0037648786081003	19376	104389	27727056	84227472
Japan	chr1	2580001	2600000	0.0022211144455633	19461	9985	4495491	13914615
Europe	chr1	2580001	2600000	0.0025219138666158	19461	70232	27848691	84596967
Europe	chr1	2600001	2620000	0.0038702293521387	19309	106939	27631179	83936223
Japan	chr1	2600001	2620000	0.0023901556347565	19309	10661	4460379	13805935
Japan	chr1	2620001	2640000	0.0019636812938099	19347	8776	4469157	13833105
Europe	chr1	2620001	2640000	0.0019604445740427	19347	54276	27685557	84101409
Japan	chr1	2640001	2660000	0.0045522651273849	19196	20186	4434276	13725140
Europe	chr1	2640001	2660000	0.0044059449841707	19196	121029	27469476	83445012
Europe	chr1	2660001	2680000	0.0026565886064661	19388	73705	27744228	84279636
Japan	chr1	2660001	2680000	0.0026412106564778	19388	11829	4478628	13862420
Europe	chr1	2680001	2700000	0.004955583070097	19087	135353	27313234	82971452
Japan	chr1	2680001	2700000	0.0040013844490804	19087	17642	4408974	13647328
Europe	chr1	2700001	2720000	0.0010249639643495	19530	28645	27947324	84897016
Japan	chr1	2700001	2720000	0.0010010129825798	19530	4516	4511430	13963950
Japan	chr1	2720001	2740000	0.0076594335657847	19036	33680	4397192	13610864
Europe	chr1	2720001	2740000	0.008254797285716	19036	224861	27240039	82749969
Europe	chr1	2740001	2760000	0.0081183287401413	18994	220648	27178993	82568339
Japan	chr1	2740001	2760000	0.0062367067708518	18994	27364	4387572	13580752
Europe	chr1	2760001	2780000	0.0009000832542332	19648	25307	28116288	85409856
Japan	chr1	2760001	2780000	0.0008509066937405	19648	3862	4538688	14048320
Japan	chr1	2780001	2800000	0.0023922028398526	19374	10706	4475373	13852431
Europe	chr1	2780001	2800000	0.0030960493826982	19374	85834	27723718	84219254
Europe	chr1	2800001	2820000	0.0050884481216858	19040	138640	27246028	82767092
Japan	chr1	2800001	2820000	0.005259224446856	19040	23131	4398177	13613663
Europe	chr1	2820001	2840000	0.0022993089462431	19672	64727	28150632	85514184
Japan	chr1	2820001	2840000	0.0016827926038987	19672	7647	4544232	14065480
Europe	chr1	2840001	2860000	0.0158389023504178	18631	422277	26660749	80989169
Japan	chr1	2840001	2860000	0.0164941832595634	18631	70986	4303699	13321227
Europe	chr1	2860001	2880000	0.0069286781343733	19123	189603	27364960	83127734
Japan	chr1	2860001	2880000	0.0080887093561087	19123	35731	4417392	13672966
Europe	chr1	2880001	2900000	0.0040441588805204	19440	112503	27818640	84505680
Japan	chr1	2880001	2900000	0.0046427680686939	19440	20849	4490640	13899600
Europe	chr1	2900001	2920000	0.0057816724630537	19139	158347	27387750	83197392
Japan	chr1	2900001	2920000	0.0061674570792079	19139	27267	4421109	13684385
Europe	chr1	2920001	2940000	0.0019801699222614	19552	55403	27978912	84992544
Japan	chr1	2920001	2940000	0.0014172441034143	19552	6401	4516512	13979680
Japan	chr1	2940001	2960000	0.001144687584934	19639	5193	4536609	14041885
Europe	chr1	2940001	2960000	0.0021362532922607	19639	60036	28103409	85370733
Japan	chr1	2960001	2980000	0.0020897945338243	19296	9315	4457376	13796640
Europe	chr1	2960001	2980000	0.0046767275799665	19296	129136	27612470	83879818
Japan	chr1	2980001	3000000	0.0006392259236759	19775	2920	4568025	14139125
Europe	chr1	2980001	3000000	0.0016356265145712	19775	46285	28298025	85961925
Europe	chr1	3000001	3020000	0.0040546976427437	19546	113411	27970273	84966515
Japan	chr1	3000001	3020000	0.0012854569285552	19546	5804	4515126	13975390
Europe	chr1	3020001	3040000	0.0030944884735376	19530	86483	27947430	84896910
Japan	chr1	3020001	3040000	0.00106751074493	19530	4816	4511430	13963950
Europe	chr1	3040001	3060000	0.0026084208313031	19323	72126	27651213	83997081
Japan	chr1	3040001	3060000	0.0017304448972934	19323	7724	4463592	13815966
Japan	chr1	3060001	3080000	0.0007123152015543	19794	3257	4572414	14152710
Europe	chr1	3060001	3080000	0.001201862058306	19794	34043	28325214	86044518
Europe	chr1	3080001	3100000	0.0037896987740939	19255	104421	27553905	83701485
Japan	chr1	3080001	3100000	0.0071852143626047	19255	31959	4447884	13767346
Europe	chr1	3100001	3120000	0.0010058841584087	19594	28204	28039014	85175118
Japan	chr1	3100001	3120000	0.0011755962046867	19594	5321	4526214	14009710
Europe	chr1	3120001	3140000	0.0060613784379761	19444	168654	27824364	84523068
Japan	chr1	3120001	3140000	0.0037018285835401	19444	16627	4491564	13902460
Japan	chr1	3140001	3160000	0.0003925925197689	19815	1797	4577265	14167725
Europe	chr1	3140001	3160000	0.0008338839365458	19815	23645	28355265	86135805
Europe	chr1	3160001	3180000	0.0009597124195226	19376	26610	27727056	84227472
Japan	chr1	3160001	3180000	0.0004691839951955	19376	2100	4475856	13853840
Europe	chr1	3180001	3200000	0.00085589396215	19837	24296	28386694	86231492
Japan	chr1	3180001	3200000	0.0003138129871002	19837	1438	4582347	14183455
Japan	chr1	3200001	3220000	0.0024830256996804	19598	11241	4527138	14012570
Europe	chr1	3200001	3220000	0.0039123916935861	19598	109722	28044738	85192506
Europe	chr1	3220001	3240000	0.0092557134394014	18969	251243	27144639	82458243
Japan	chr1	3220001	3240000	0.0054979462862218	18969	24091	4381818	13562856
Japan	chr1	3240001	3260000	0.0013739279419262	19324	6133	4463844	13816660
Europe	chr1	3240001	3260000	0.0035759329198321	19324	98884	27652644	84001428
Japan	chr1	3260001	3280000	0.0057970915747421	19061	25525	4403070	13628636
Europe	chr1	3260001	3280000	0.0068852501929067	19061	187803	27276133	82858325
Japan	chr1	3280001	3300000	0.0013649951089797	18702	5897	4320162	13371930
Europe	chr1	3280001	3300000	0.0232921931354065	18702	623317	26760769	81299387
Europe	chr1	3300001	3320000	0.0116288790588041	18992	316042	27177340	82558436
Japan	chr1	3300001	3320000	0.0016094723866417	18992	7061	4387152	13579280
Japan	chr1	3320001	3340000	0.0016897567123388	19263	7519	4449753	13773045
Europe	chr1	3320001	3340000	0.0037775391524851	19263	104129	27565300	83736314
Japan	chr1	3340001	3360000	0.0025538540262592	19424	11459	4486944	13888160
Europe	chr1	3340001	3360000	0.0052910258491371	19424	147068	27795744	84436128
Japan	chr1	3360001	3380000	0.0020044442993075	19487	9023	4501497	13933205
Europe	chr1	3360001	3380000	0.0047057837156896	19487	131225	27885897	84709989
Japan	chr1	3380001	3400000	0.0079600932285826	18936	34819	4374195	13539261
Europe	chr1	3380001	3400000	0.0087510991555171	18936	237128	27096939	82315269
Europe	chr1	3400001	3420000	0.0062518509199267	19241	172136	27533606	83640892
Japan	chr1	3400001	3420000	0.0045961091465676	19241	20428	4444629	13757357
Japan	chr1	3420001	3440000	0.0052479606512741	19321	23422	4463067	13814599
Europe	chr1	3420001	3440000	0.0058023017437793	19321	160421	27647821	83988917
Europe	chr1	3440001	3460000	0.00046748732849	19944	13342	28539811	86696621
Japan	chr1	3440001	3460000	0.0003520680415987	19944	1622	4607064	14259960
Japan	chr1	3460001	3480000	0.0039613970056793	19466	17813	4496646	13918190
Europe	chr1	3460001	3480000	0.0041350824225323	19466	115186	27855793	84618755
Japan	chr1	3480001	3500000	0.0063760789705139	19299	28425	4458069	13798785
Europe	chr1	3480001	3500000	0.0068969265624642	19299	190469	27616504	83893118
Europe	chr1	3500001	3520000	0.0063284818532589	19040	172427	27246187	82766933
Japan	chr1	3500001	3520000	0.0053682836771072	19040	23611	4398240	13613600
Europe	chr1	3520001	3540000	0.0033754243980964	19026	91900	27226206	82706022
Japan	chr1	3520001	3540000	0.0027394729381484	19026	12040	4395006	13603590
Japan	chr1	3540001	3560000	0.0017060154465305	19445	7663	4491753	13903217
Europe	chr1	3540001	3560000	0.0036342455070932	19445	101125	27825583	84527627
Japan	chr1	3560001	3580000	0.0045873900353111	18664	19778	4311384	13344760
Europe	chr1	3560001	3580000	0.0080796368716328	18664	215792	26708131	81132461
Japan	chr1	3580001	3600000	0.0027948872663559	19242	12423	4444902	13758030
Europe	chr1	3580001	3600000	0.0042374130912305	19242	116678	27535196	83645080
Japan	chr1	3600001	3620000	0.0019205264870004	19376	8596	4475856	13853840
Europe	chr1	3600001	3620000	0.0030770364903844	19376	85317	27727003	84227525
